"Call_Received_Date","Call_Received_Time","Incident_ID","Call_Method","Nature_Code_Description","Location_Address","Report_Number","Closing_Disposition/Cancel_Code","fileName"
2021-02-12,"12:28PM","210202903","SELF TRAFFIC STOP / ENFORCEMENT","","4403 ONTARIO ST","","CIT","PressLog (1).pdf"
2021-02-12,"11:24AM","210202894","PHONE VEHICLE IN DITCH","","145 MM US HIGHWAY 30 E","21000630","RPT","PressLog (1).pdf"
2021-02-12,"11:23AM","210202893","PHONE VEHICLE IN DITCH","","145 MM US HIGHWAY 30 E","","GIE","PressLog (1).pdf"
2021-02-12,"10:16AM","210202884","PHONE MOTORIST ASSISTANCE","","OAKLAND ST/HYLAND AVE","","INFO","PressLog (1).pdf"
2021-02-12,"10:02AM","210202881","PHONE PRIVATE TOW","","119-422 STANTON AVE","","PTOW","PressLog (1).pdf"
2021-02-12,"09:46AM","210202876","PHONE CIVIL MATTER","","603 S 16TH ST","","NOR","PressLog (1).pdf"
2021-02-12,"09:46AM","210202875","SELF TRAFFIC STOP / ENFORCEMENT","","N UNIVERSITY BLVD/LINCOLN WAY","","WAR","PressLog (1).pdf"
2021-02-12,"08:05AM","210202864","PHONE MEDICAL ASSIST/AMBULANCE CALL","","1423 JEFFERSON ST","","NRSP","PressLog (1).pdf"
2021-02-12,"07:50AM","210202860","PHONE GENERAL ALARM BANK / RESIDENTI","","2521-122 UNIVERSITY BLVD","","BIL","PressLog (1).pdf"
2021-02-12,"07:15AM","210202855","PHONE MEDICAL ASSIST/AMBULANCE CALL","","1503 STAFFORD AVE","","NRSP","PressLog (1).pdf"
2021-02-12,"02:06AM","210202827","SELF OUTREACH","","223 WELCH AVE","","ASC","PressLog (1).pdf"
2021-02-12,"01:46AM","210202825","E911 MEDICAL ASSIST/AMBULANCE CALL","","4218 HASTINGS AVE","","NRSP","PressLog (1).pdf"
2021-02-12,"01:42AM","210202822","W911 MEDICAL ASSIST/AMBULANCE CALL","","321-227 S 5TH ST","","NRSP","PressLog (1).pdf"
2021-02-12,"01:10AM","210202817","PHONE GENERAL ALARM BANK / RESIDENTI","","515 DOUGLAS AVE","","BIL","PressLog (1).pdf"
2021-02-12,"01:10AM","","PHONE GENERAL ALARM BANK / RESIDENTI","","515 DOUGLAS AVE","","BIL","PressLog (1).pdf"
2021-02-12,"12:45AM","210202812","PHONE GENERAL ALARM BANK / RESIDENTI","","122-608 HAYWARD AVE","","INFO","PressLog (1).pdf"
2021-02-12,"12:45AM","","PHONE GENERAL ALARM BANK / RESIDENTI","","122-608 HAYWARD AVE","","INFO","PressLog (1).pdf"
2021-02-12,"12:45AM","","PHONE GENERAL ALARM BANK / RESIDENTI","","122-608 HAYWARD AVE","","INFO","PressLog (1).pdf"
2021-02-12,"12:38AM","210202811","PHONE SUSPICIOUS PERSON/VEH/ACTIVITY","","4409 TORONTO ST","","NOR","PressLog (1).pdf"
2021-02-12,"12:38AM","","PHONE SUSPICIOUS PERSON/VEH/ACTIVITY","","4409 TORONTO ST","","NOR","PressLog (1).pdf"
2021-02-12,"12:13AM","210202809","PHONE ANIMAL CALL","","325 S WALNUT AVE","","NOR","PressLog (1).pdf"
2021-02-11,"11:46PM","210202806","SELF DISORDERLY CONDUCT","","2401 CHAMBERLAIN ST","21000628","ARR","PressLog (1).pdf"
2021-02-11,"11:22PM","210202802","PHONE GENERAL ALARM BANK / RESIDENTI","","2330-204 PRAIRIE VIEW WEST","","NBA","PressLog (1).pdf"
2021-02-11,"11:22PM","","PHONE GENERAL ALARM BANK / RESIDENTI","","2330-204 PRAIRIE VIEW WEST","","NBA","PressLog (1).pdf"
2021-02-11,"11:08PM","210202801","SELF POSSESSION UNDERAGE","","124 WELCH AVE","21000627","RPT","PressLog (1).pdf"
2021-02-11,"11:02PM","210202800","PHONE DOMESTIC DISPUTE","","300 MULBERRY BLVD","21000629","RPT","PressLog (1).pdf"
2021-02-11,"10:29PM","210202797","PHONE PARKING ENFORCEMENT/COMPLAINT","","2100-BLK SUNSET DR","","ASC","PressLog (1).pdf"
2021-02-11,"10:27PM","210202796","SELF POSSESSION UNDERAGE","","2522 CHAMBERLAIN ST","21000626","RPT","PressLog (1).pdf"
2021-02-11,"10:03PM","210202793","PHONE SUSPICIOUS PERSON/VEH/ACTIVITY","","2400 UNIVERSITY BLVD","","NOR","PressLog (1).pdf"
2021-02-11,"09:44PM","210202791","PHONE TRESPASS","","2650 LINCOLN WAY","","UTL","PressLog (1).pdf"
2021-02-11,"09:44PM","","PHONE TRESPASS","","2650 LINCOLN WAY","","UTL","PressLog (1).pdf"
2021-02-11,"09:35PM","210202790","PHONE ANIMAL CALL","","105 CHESTNUT ST","","NOR","PressLog (1).pdf"
2021-02-11,"09:10PM","210202787","PHONE TRESPASS","","534 S DUFF AVE","21000625","ARR","PressLog (1).pdf"
2021-02-11,"09:01PM","210202784","PHONE MEDICAL ASSIST/AMBULANCE CALL","","1310 GLENDALE AVE","","NRSP","PressLog (1).pdf"
2021-02-11,"09:01PM","210202782","PHONE POSSESSION UNDERAGE","","2522 CHAMBERLAIN ST","","UTL","PressLog (1).pdf"
2021-02-11,"08:26PM","210202779","PHONE PARKING ENFORCEMENT/COMPLAINT","","307 DOTSON DR","","NOR","PressLog (1).pdf"
2021-02-11,"08:07PM","210202774","PHONE GENERAL ASSAULT","","3505-104 LINCOLN WAY","21000624","RPT","PressLog (1).pdf"
2021-02-11,"08:03PM","210202773","PHONE TRESPASS","","805 GRAND AVE","","NAT","PressLog (1).pdf"
2021-02-11,"07:27PM","210202769","PHONE MOTOR VEH CRASH/PROP DAMAGE","","ASH AVE/LINCOLN WAY","21000622","RPT","PressLog (1).pdf"
2021-02-11,"07:17PM","210202768","PHONE DISORDERLY CONDUCT","","207 S DUFF AVE","","NOR","PressLog (1).pdf"
2021-02-11,"11:23AM","210202674","PHONE DISORDERLY CONDUCT","","143-204 SHELDON AVE","","ASC","PressLog (1).pdf"
2021-02-11,"10:41AM","210202661","PHONE GENERAL ALARM BANK / RESIDENTI","","159 SHELDON AVE","","BIL","PressLog (1).pdf"
2021-02-11,"10:37AM","210202658","SELF TRAFFIC STOP / ENFORCEMENT","","3830 ONTARIO ST","","WAR","PressLog (1).pdf"
2021-02-11,"10:35AM","210202655","PHONE MEDICAL ASSIST/AMBULANCE CALL","","2205 GREEN HILLS DR","","NRSP","PressLog (1).pdf"
2021-02-11,"10:29AM","210202651","SELF TRAFFIC STOP / ENFORCEMENT","","1200-BLK DELAWARE AVE","","WAR","PressLog (1).pdf"
2021-02-11,"10:08AM","210202644","SELF TRAFFIC STOP / ENFORCEMENT","","3700-BLK ONTARIO ST","","CIT","PressLog (1).pdf"
2021-02-11,"09:23AM","210202636","PHONE SCAM","","3614-105 FALCON AVE","21000608","RPT","PressLog (1).pdf"
2021-02-11,"09:09AM","210202634","SELF TRAFFIC STOP / ENFORCEMENT","","3628 ONTARIO ST","","WAR","PressLog (1).pdf"
2021-02-11,"09:01AM","210202633","SELF TRAFFIC STOP / ENFORCEMENT","","3830 ONTARIO ST","","WAR","PressLog (1).pdf"
2021-02-11,"08:55AM","210202630","SELF MOTORIST ASSISTANCE","","1800-BLK GRAND AVE","","ASC","PressLog (1).pdf"
2021-02-11,"08:52AM","210202629","SELF MOTOR VEH CRASH/PROP DAMAGE","","1921 AMES HIGH DR","21000607","RPT","PressLog (1).pdf"
2021-02-11,"08:48AM","210202628","SELF TRAFFIC STOP / ENFORCEMENT","","3914 ONTARIO ST","","CIT","PressLog (1).pdf"
2021-02-11,"08:47AM","210202626","PHONE MEDICAL ASSIST/AMBULANCE CALL","","3500-30 GRAND AVE","","NAT","PressLog (1).pdf"
2021-02-11,"08:32AM","210202622","PHONE RECKLESS DRIVER","","DUFF AVE/LINCOLN WAY","","INFO","PressLog (1).pdf"
2021-02-11,"08:32AM","210202621","SELF TRAFFIC STOP / ENFORCEMENT","","ONTARIO ST/ALABAMA LN","","WAR","PressLog (1).pdf"
2021-02-11,"08:10AM","210202618","SELF MISSING PERSON / RUNAWAY","","4345-7 MARICOPA DR","","TEST","PressLog (1).pdf"
2021-02-11,"04:50AM","210202600","E911 MEDICAL ASSIST/AMBULANCE CALL","","3440 GRAND AVE","","NRSP","PressLog (1).pdf"
2021-02-11,"03:01AM","210202594","PHONE MEDICAL ASSIST/AMBULANCE CALL","","3305 STANGE RD","","NRSP","PressLog (1).pdf"
2021-02-11,"02:13AM","210202591","PHONE PARKING ENFORCEMENT/COMPLAINT","","S OAK AVE/S 2ND ST","","CIT","PressLog (1).pdf"
2021-02-11,"01:43AM","210202590","SELF CITIZEN CONTACT","","129 S DUFF AVE","","NOR","PressLog (1).pdf"
2021-02-10,"11:58PM","210202585","SELF TRAFFIC STOP / ENFORCEMENT","","3500-BLK LINCOLN WAY","21000606","ARR","PressLog (1).pdf"
2021-02-10,"11:20PM","210202580","W911 DISORDERLY CONDUCT","","3500-30 GRAND AVE","","ASC","PressLog (1).pdf"
2021-02-10,"11:20PM","","W911 DISORDERLY CONDUCT","","3500-30 GRAND AVE","","ASC","PressLog (1).pdf"
2021-02-10,"10:55PM","210202571","W911 FIRE STRUCTURE","","143 SHELDON AVE","","NRSP","PressLog (1).pdf"
2021-02-10,"10:13PM","210202564","PHONE FIRE ALARM","","611-2 KELLOGG AVE","21000605","RPT","PressLog (1).pdf"
2021-02-10,"10:13PM","","PHONE FIRE ALARM","","611-2 KELLOGG AVE","21000605","RPT","PressLog (1).pdf"
2021-02-10,"10:13PM","","PHONE FIRE ALARM","","611-2 KELLOGG AVE","21000605","RPT","PressLog (1).pdf"
2021-02-10,"07:55PM","210202546","PHONE MEDICAL ASSIST/AMBULANCE CALL","","428-17 STONEHAVEN DR","","NRSP","PressLog (1).pdf"
2021-02-10,"07:47PM","210202544","PHONE MOTORIST ASSISTANCE","","US HIGHWAY 30/S DUFF AVE","","NOR","PressLog (1).pdf"
2021-02-10,"05:17PM","210202524","PHONE ANIMAL CALL","","200-BLK MAIN ST","","INFO","PressLog (1).pdf"
2021-02-10,"04:34PM","210202519","PHONE THEFT / FRAUD / FORGERY","","2901 GRAND AVE","21000603","ARR","PressLog (1).pdf"
2021-02-10,"04:19PM","210202514","PHONE MOTOR VEH CRASH/PROP DAMAGE","","640 LINCOLN WAY","21000602","RPT","PressLog (1).pdf"
2021-02-10,"03:21PM","210202501","PHONE TRESPASS","","321-239 S 5TH ST","21000601","RPT","PressLog (1).pdf"
2021-02-10,"03:01PM","210202498","PHONE HARASSMENT","","4611-315 MORTENSEN RD","21000600","RPT","PressLog (1).pdf"
2021-02-10,"02:25PM","210202491","PHONE MOTOR VEH CRASH/PROP DAMAGE","","LINCOLN WAY/MORRILL RD","21000598","RPT","PressLog (1).pdf"
2021-02-10,"02:24PM","210202490","PHONE PARKING ENFORCEMENT/COMPLAINT","","703-101 S DUFF AVE","","NOR","PressLog (1).pdf"
2021-02-10,"02:18PM","210202488","PHONE MEDICAL ASSIST/AMBULANCE CALL","","3440-208 GRAND AVE","","NRSP","PressLog (1).pdf"
2021-02-10,"01:55PM","210202482","PHONE THEFT / FRAUD / FORGERY","","1338 WALTON DR","21000596","RPT","PressLog (1).pdf"
2021-02-10,"01:40PM","210202479","PHONE MEDICAL ASSIST/AMBULANCE CALL","","4912-431 MORTENSEN RD","","DUP","PressLog (1).pdf"
2021-02-10,"01:34PM","210202476","PHONE DOMESTIC DISPUTE","","1400-109 S DAYTON PL","21000597","ARR","PressLog (1).pdf"
2021-02-10,"01:34PM","","PHONE DOMESTIC DISPUTE","","1400-109 S DAYTON PL","21000597","ARR","PressLog (1).pdf"
2021-02-10,"01:19PM","210202469","PHONE BURGLARY / ATTEMPTED BURGLARY","","3502 LINCOLN WAY","21000595","RPT","PressLog (1).pdf"
2021-02-10,"12:43PM","210202462","PHONE MOTORIST ASSISTANCE","","3200-BLK ROY KEY AVE","","ASC","PressLog (1).pdf"
2021-02-10,"12:09PM","210202458","PHONE THEFT / FRAUD / FORGERY","","3800 LINCOLN WAY","21000594","RPT","PressLog (1).pdf"
2021-02-10,"12:06PM","210202456","PHONE MOTORIST ASSISTANCE","","MORTENSEN RD/SEAGRAVE BLVD","","NOR","PressLog (1).pdf"
2021-02-10,"11:41AM","210202454","PHONE HARASSMENT","","515 CLARK AVE","21000593","RPT","PressLog (1).pdf"
2021-02-10,"11:38AM","210202452","PHONE PRIORITY MEDICAL ASSIST","","515 CLARK AVE","","TEST","PressLog (1).pdf"
2021-02-10,"11:27AM","210202450","PHONE DISORDERLY CONDUCT","","1111 DUFF AVE","","NOR","PressLog (1).pdf"
2021-02-10,"11:27AM","","PHONE DISORDERLY CONDUCT","","1111 DUFF AVE","","NOR","PressLog (1).pdf"
2021-02-10,"11:22AM","210202448","PHONE ELEVATOR ASSIST","","2121 SUNSET DR","","CBC","PressLog (1).pdf"
2021-02-10,"11:05AM","210202446","PHONE PARKING ENFORCEMENT/COMPLAINT","","112 S WILMOTH AVE","","NOR","PressLog (1).pdf"
2021-02-10,"10:56AM","210202444","PHONE SUSPICIOUS PERSON/VEH/ACTIVITY","","5344 MORTENSEN RD","","NOR","PressLog (1).pdf"
2021-02-10,"09:50AM","210202426","PHONE THEFT / FRAUD / FORGERY","","2311 CAMDEN DR","21000592","RPT","PressLog (1).pdf"
2021-02-10,"09:16AM","210202415","PHONE PARKING ENFORCEMENT/COMPLAINT","","424 TEAGARDEN DR","","NOR","PressLog (1).pdf"
2021-02-10,"09:07AM","210202414","SELF OUTREACH","","423 MAIN ST","","NOR","PressLog (1).pdf"
2021-02-10,"08:22AM","210202407","PHONE THEFT / FRAUD / FORGERY","","2600 TIMBERLAND RD","21000591","RPT","PressLog (1).pdf"
2021-02-10,"07:32AM","210202396","PHONE MOTORIST ASSISTANCE","","UNIVERSITY BLVD/US HIGHWAY 30 RAMP","","ASC","PressLog (1).pdf"
2021-02-10,"06:48AM","210202392","SELF TRAFFIC STOP / ENFORCEMENT","","1300-BLK LINCOLN WAY","","WAR","PressLog (1).pdf"
2021-02-10,"06:26AM","210202391","W911 JUVENILE TROUBLE","","1011 FLORIDA AVE","","ASC","PressLog (1).pdf"
2021-02-10,"06:26AM","","W911 JUVENILE TROUBLE","","1011 FLORIDA AVE","","ASC","PressLog (1).pdf"
2021-02-14,"04:10AM","210203383","PHONE GENERAL ALARM BANK / RESIDENTI","","710 S DUFF AVE","","BIL","PressLog (1).pdf"
2021-02-14,"02:39AM","210203371","PHONE PUBLIC INTOXICATION","","100-BLK WELCH AVE","21000661","ARR","PressLog (1).pdf"
2021-02-14,"02:39AM","","PHONE PUBLIC INTOXICATION","","100-BLK WELCH AVE","21000661","ARR","PressLog (1).pdf"
2021-02-14,"02:39AM","","PHONE PUBLIC INTOXICATION","","100-BLK WELCH AVE","21000661","ARR","PressLog (1).pdf"
